"PROGRAMME","NOM_COURT","APPLICATION","ANNEE","MOIS","STATUT","NB_EXECUTIONS","DUREE_MOY_MIN","DUREE_MAX_MIN","DUREE_MIN_MIN","DUREE_TOTALE_MIN"
"DKA : Generer des comptes","DKA_FAGDA","DKA","2026","2026-04","Normal",88,"0.39","0.68","0.35","34.13"
"DKA : Export des encaissements clients","DKA_SAREXTENCAISSCLIENT","DKA","2026","2026-04","Normal",88,"9.27","15.95","5.77","815.47"
"DKA : Export journalier des fournisseurs","DKA_APFRSEXP_JOUR","DKA","2026","2026-04","Normal",88,"10.22","22.38","7.80","899.20"
"DKA : Envoi d'un email avec attachement","DKA_MAIL","DKA","2026","2026-04","Normal",88,"0.00","0.02","0.00","0.40"
"DKA : Interface Employes vers Oracle","DKA_IHREMP_INTERFACE","DKA","2026","2026-04","Normal",88,"1.26","2.65","0.92","110.93"
"DKA : Comptabilisation des rÃ¨glements pour la campagne de prÃ©lÃ¨vement AP - RB","DKA_SAPPRELAUTORB_COMPTA","DKA","2026","2026-04","Normal",88,"1.22","1.85","0.77","107.33"
"DKA : Campagne de prÃ©lÃ¨vements Clients - CrÃ©ation du fichier DDIMPORT","DKA_CREATE_DDIMPORT_FILE","DKA","2026","2026-04","Normal",88,"0.01","0.02","0.00","0.53"
"DKA - PRC : Valider l'importation des lignes d'immobilisation dans Oracle Assets","DKA_PACFATBP","DKA","2026","2026-04","Normal",88,"0.35","0.37","0.35","31.20"
"DKA : Rattachement de l'avis de prÃ©lÃ¨vement au rÃ¨glement AR","DKA_SARPREL_ATTACH","DKA","2026","2026-04","Normal",88,"0.09","0.53","0.00","7.73"
"DKA : Mouvements Ã©ligibles au prÃ©lÃ¨vement automatique","DKAR_AR_FACNLETRREES","DKA","2026","2026-04","Normal",88,"0.34","0.87","0.27","29.87"
"DKA : Alimentation des tables factures Xerox","DKA_POPULATE_XGS_TABLES","DKA","2026","2026-04","Normal",88,"0.02","0.03","0.02","1.60"
"DKA : GÃ©nÃ©ration des Etats de rapprochement AP/RB","DKA_RAPCTRLPRLVT","DKA","2026","2026-04","Normal",88,"0.10","0.13","0.08","9.07"
"DKA - FA : Copie en haut volume pÃ©riodique","DKA_FA_FAMCP","DKA","2026","2026-04","Warning",80,"0.34","0.35","0.33","26.93"
"DKA : ContrÃ´le des flux IVALUA","DKA_IAPCTRFLUX_IVALUA","DKA","2026","2026-04","Warning",80,"0.01","0.02","0.00","0.67"
"Activer","ACTIVATE","FND","2026","2026-04","Normal",80,"","","",""
"DKA : Import des contrats SSTR depuis iValua","DKA_IPO_SSTR_IVALUA","DKA","2026","2026-04","Normal",80,"0.60","0.63","0.58","48.27"
"DKA : Lanceur (SHELL)","DKA_SLAUNCHER","DKA","2026","2026-04","Erreur",80,"423.85","1578.05","0.35","33907.73"
"DKA : Import des Factures clients","DKA_IARPAFAC","DKA","2026","2026-04","Normal",80,"9.94","45.92","1.80","795.20"
"DKA : Import des clients : Post Open Interface","DKA_ICLIENTIFS_2","DKA","2026","2026-04","Normal",72,"80.49","467.30","0.38","5794.93"
"DKA : Balance Ã¢gÃ©e client par chargÃ© de recouvrement (PDF)","DKA_RARBALCHARGPDF","DKA","2026","2026-04","Normal",64,"2.22","3.18","1.48","142.40"
"DKA : RÃ¨glements automatiques des prÃ©lÃ¨vements clients","DKA_SARAUTOPRELEV","DKA","2026","2026-04","Normal",64,"26.93","64.92","2.47","1723.73"
"DKA : ContrÃ´le des flux XEROX","DKA_IAPCTRFLUX_XEROX","DKA","2026","2026-04","Warning",64,"0.21","0.62","0.00","13.33"
"DKA : Automatisation de l'Ã©tat provisoire des prÃ©lÃ¨vements clients","DKA_SARRGLTPRLV_AUTO2","DKA","2026","2026-04","Normal",64,"0.34","0.35","0.33","21.47"
"DKA : Etat dÃ©finitif des prÃ©lÃ¨vements clients","DKA_RAR_PRELEVCLINETDEF","DKA","2026","2026-04","Normal",64,"0.20","0.23","0.15","12.67"
"Etat des exceptions de clÃ´ture de pÃ©riode de livre auxiliaire","XLAPEXRPT","XLA","2026","2026-04","Normal",64,"0.15","0.22","0.10","9.73"
"DKA : Etat provisoire des prÃ©lÃ¨vements clients","DKA_RAR_PRELEVCLINET","DKA","2026","2026-04","Normal",64,"0.11","0.13","0.10","7.20"
"DKA : Automatisation des factures Ã©ligibles au prÃ©lÃ¨vement client","DKA_SARRGLTPRLV_AUTO1","DKA","2026","2026-04","Normal",64,"0.50","0.52","0.50","32.13"
"DKA : Automatisation de l'Ã©tat dÃ©finitif des prÃ©lÃ¨vements clients","DKA_SARRGLTPRLV_AUTO3","DKA","2026","2026-04","Normal",64,"0.48","0.50","0.33","30.67"
"DKA : Fermeture dÃ©finitive des commandes PO par rÃ©gion","DKA_SPOCLOSCOM_PR","DKA","2026","2026-04","Normal",64,"0.14","0.25","0.05","8.93"
"DKA : Copie en haut volume pÃ©riodique","DKA_FAMCP","DKA","2026","2026-04","Warning",56,"0.68","0.68","0.68","38.27"
"DKA : Confirmation des lots de rÃ¨glements pour prÃ©lÃ¨vement automatique","DKA_ARCONFIRMLOT","DKA","2026","2026-04","Warning",56,"1.67","2.02","1.33","93.47"
"DKA : Extraction contrÃ´le fiscal","DKA_IAPARGLCTRLFISCAL","DKA","2026","2026-04","Normal",56,"1.15","2.08","0.72","64.13"
"DKA : ContrÃ´le des flux IVALUA","DKA_IAPCTRFLUX_IVALUA","DKA","2026","2026-04","Normal",48,"0.01","0.02","0.00","0.67"
"DKA : Envoi par mail des fichiers de contrÃ´le de prÃ©-clÃ´ture","DKA_SCTRLMODULE_MAIL","DKA","2026","2026-04","Normal",48,"0.02","0.02","0.02","0.80"
"DKA : Edition des fichiers de contrÃ´le de pre-cloture","DKA_SCTRLMODULE_EDT","DKA","2026","2026-04","Normal",48,"10.99","35.27","0.77","527.73"
"XXRB - Etat de rapprochement","RBMAED01","XXRB","2026","2026-04","Normal",48,"0.07","0.08","0.07","3.60"
"DKA : Export et envoi vers IVALUA des transferts de commandes Ã  un tiers","DKA_EXPCDE_TRANSFRS_IVALUA","DKA","2026","2026-04","Normal",40,"0.00","0.02","0.00","0.13"
"XXRB - Rapprochement","RBMATCHG","XXRB","2026","2026-04","Erreur",40,"1.12","3.85","0.00","44.80"
"Phase du jeu de traitements","FNDRSSTG","FND","2026","2026-04","Erreur",40,"278.52","487.93","0.02","11140.67"
"DKA : campagne de lettrage Ã  zÃ©ro","DKA_CAMPAGNE_LETTRAGE_ZERO","DKA","2026","2026-04","Warning",40,"1.48","2.87","0.87","59.07"
"DKA : Mise Ã  jour commande - CUF Paiement Direct","DKA_SPOMAJPD","DKA","2026","2026-04","Normal",32,"0.00","0.02","0.00","0.13"
"Jeu d'Ã©tats","FNDRSSUB","FND","2026","2026-04","Erreur",32,"787.75","1577.73","0.02","25208.00"
"DKA : Copie en haut volume pÃ©riodique","DKA_FAMCP","DKA","2026","2026-04","Normal",32,"0.69","0.70","0.68","22.00"
"DKA : ContrÃ´le des flux XEROX","DKA_IAPCTRFLUX_XEROX","DKA","2026","2026-04","Normal",32,"0.13","0.47","0.02","4.27"
"Mise Ã  jour des listes de sÃ©curitÃ©","PERSLM","PER","2026","2026-04","Normal",32,"0.02","0.07","0.00","0.53"
"XXRB - Rapprochement automatique","RBMATRUN","XXRB","2026","2026-04","Erreur",32,"1.56","4.00","0.25","50.00"
"SCP PA 1200 Project Types Loader","SCPA1PTY","XXSUP","2026","2026-04","Normal",24,"0.01","0.02","0.00","0.13"
"DKA : RÃ¨glements automatiques des prÃ©lÃ¨vements clients","DKA_SARAUTOPRELEV","DKA","2026","2026-04","Warning",24,"0.59","0.62","0.57","14.13"
"SCP FND 1131 Responsibilities Loader","SCFD1RSP","XXSUP","2026","2026-04","Normal",24,"0.01","0.02","0.00","0.13"
"DKA : Situation Oracle du matin","DKA_SCTRLMOD_MOA_EDT","DKA","2026","2026-04","Erreur",24,"102.39","155.33","0.03","2457.47"
"SCP FND 1155 Security rules and assignments Loader","SCFD1SRU","XXSUP","2026","2026-04","Warning",24,"0.00","0.00","0.00","0.00"
"SCP ZX 1141 GL tax options Loader","SCZX1GTO","XXSUP","2026","2026-04","Normal",24,"0.00","0.00","0.00","0.00"
"SCP PA 1320 Agreement Templates Loader","SCPA1ATE","XXSUP","2026","2026-04","Normal",24,"0.01","0.02","0.00","0.27"
"DKA : Import des clients : Post Open Interface","DKA_ICLIENTIFS_2","DKA","2026","2026-04","Erreur",24,"464.16","487.92","444.68","11139.87"
"Dupliquer les donnÃ©es systÃ¨me","AKXMOSED","AK","2026","2026-04","Normal",24,"0.38","0.50","0.27","9.20"
"SCP PO 1011 Inventory organization parameters Loader","SCIC1MTP","XXSUP","2026","2026-04","Normal",24,"0.01","0.02","0.00","0.27"
"DKA : Envoi avis de virement par mail","DKA_SAPVIR_MAIL","DKA","2026","2026-04","Warning",24,"0.03","0.08","0.00","0.80"
"XXRB - Simulation rapprochement automatique + Ã©dition","RBMATSIM_U","XXRB","2026","2026-04","Normal",24,"0.50","0.50","0.50","12.00"
"SCP PA 1100 Implementation Options Loader","SCPA1IMP","XXSUP","2026","2026-04","Normal",24,"0.13","0.17","0.10","3.07"
"DKA : Automate Etat des avoirs Ã  rembourser","DKA_AUT_SARETAT_AVOIR","DKA","2026","2026-04","Normal",24,"0.35","0.35","0.35","8.40"
"SCP FND 1021 Document sequences Loader","SCFD1SEQ","XXSUP","2026","2026-04","Normal",24,"0.04","0.05","0.03","1.07"
"DKA : Automatisation envoi avis de virement par mail","DKA_SAPAUTOVIR_MAIL","DKA","2026","2026-04","Warning",24,"1.01","2.27","0.33","24.13"
"SCP FND 1041 Sequence assignments Loader","SCFD1ASS","XXSUP","2026","2026-04","Normal",24,"0.03","0.05","0.02","0.80"
"SCP PA 1400 Assign AutoAccounting Rules Loader","SCPA1AAA","XXSUP","2026","2026-04","Normal",24,"0.02","0.02","0.02","0.40"
"SCP GL 1047 Summary accounts Loader","SCGL1STP","XXSUP","2026","2026-04","Normal",24,"0.01","0.02","0.00","0.13"
"DKA - Interface lignes d'Ã©critures comptables vers HYPERION","DKA_IHYPERION","DKA","2026","2026-04","Normal",24,"7.14","8.67","5.83","171.33"
"SCP FA 1051 Book controls Loader","SCFA1BCO","XXSUP","2026","2026-04","Normal",24,"0.02","0.02","0.02","0.40"
"SCP PA 3200 Budgets Loader","SCPA3BUD","XXSUP","2026","2026-04","Normal",24,"0.02","0.03","0.02","0.53"
"SCP GL 1021 Ledgers Loader","SCGL1LED","XXSUP","2026","2026-04","Normal",24,"0.18","0.20","0.17","4.40"
"DKA : Mise Ã  jour commande - Imputations comptables","DKA_SPOMAJIC","DKA","2026","2026-04","Warning",24,"0.01","0.02","0.00","0.27"
"DKA : EchÃ©ancier provisoire tous Soc/CdG","DKA_SAPXCRRCR","DKA","2026","2026-04","Normal",24,"6.12","6.13","6.10","146.80"
"SCP FA 1061 Asset categories Loader","SCFA1CAT","XXSUP","2026","2026-04","Normal",24,"0.09","0.10","0.08","2.27"
"SCP FND 1151 System profile values Loader","SCFD1POV","XXSUP","2026","2026-04","Normal",24,"0.01","0.02","0.00","0.27"
"SCP AP 1002 Organizations Injecteur","SCHR1ORG","XXSUP","2026","2026-04","Normal",24,"0.01","0.02","0.00","0.13"
"DKA - Interface lignes d'Ã©critures comptables vers HYPERION - QuantitÃ©s","DKA_IHYPERION_QTE","DKA","2026","2026-04","Normal",24,"1.33","1.67","1.13","31.87"
"XXRB - Import fichier des banques","RBAFBIMP","XXRB","2026","2026-04","Normal",24,"0.04","0.08","0.02","0.93"
"SCP XLE 1021 Establishment Balancing Segment Values Loader","SCXLE1EAS","XXSUP","2026","2026-04","Normal",24,"0.00","0.00","0.00","0.00"
"SCP XLE 1011 Legal entities Loader","SCXLE1LEG","XXSUP","2026","2026-04","Normal",24,"0.01","0.02","0.00","0.27"
"SCP PA 1300 Project Templates Loader","SCPA1PTE","XXSUP","2026","2026-04","Normal",24,"0.04","0.05","0.03","0.93"
"DKA : IntÃ©gration des factures XEROX","DKA_IAPFACXGS","DKA","2026","2026-04","Warning",16,"49.28","49.78","48.78","788.53"
"DKA : Automate Etat SÃ©lection des avoirs non soldÃ©s Ã  rembourser","DKA_AUTO_SARSELECAVOIR","DKA","2026","2026-04","Normal",16,"0.35","0.35","0.35","5.60"
"PiÃ¨ce rÃ©pÃ©titive","GLPRJE","SQLGL","2026","2026-04","Normal",16,"0.37","0.38","0.35","5.87"
"SCP Loaders control Launcher","SCLOADCTL","XXSUP","2026","2026-04","Normal",16,"5.34","5.68","5.00","85.47"
"DKA : Extraction En-cours Recouvrement","DKA_ENCOURS_RECOUVREMENT","DKA","2026","2026-04","Normal",16,"0.21","0.32","0.10","3.33"
"DKA : Compression de fichier zip","DKA_COMPRESS_FILE_ZIP","DKA","2026","2026-04","Normal",16,"0.00","0.00","0.00","0.00"
"DKA - FA : Copie en haut volume pÃ©riodique","DKA_FA_FAMCP","DKA","2026","2026-04","Normal",16,"0.33","0.33","0.33","5.33"
"DKA : Imputation GL","DKA_SGLIMPUTATION","DKA","2026","2026-04","Warning",16,"5.51","10.68","0.33","88.13"
"DKA : Edition des relevÃ©s bancaires pour les CSP","DKA_SRBRELBANC_CSP","DKA","2026","2026-04","Erreur",16,"0.05","0.05","0.05","0.80"
"XXRB - Rapprochement automatique + Ã©dition","RBMATRUN_U","XXRB","2026","2026-04","Normal",16,"0.50","0.50","0.50","8.00"
"Trading Community Architecture Analyzer","TCAANALYZR","AR","2026","2026-04","Normal",16,"1.18","1.18","1.18","18.93"
"DKA : ClÃ´ture de la pÃ©riode GL","DKA_SGLCLOTURE","DKA","2026","2026-04","Normal",16,"5.06","9.58","0.53","80.93"
"Collecter les statistiques du schÃ©ma","FNDGSCST","FND","2026","2026-04","Erreur",16,"377.46","395.50","359.42","6039.33"
"DKA : Lancement des Ã©ditions de la surtaxe","DKA_SARSURTAXE_7","DKA","2026","2026-04","Normal",16,"0.01","0.02","0.00","0.13"
"DKA : Chargement du fichier du CDF Xerox dans la table tmp","DKA_LOAD_IAPCTRFLUX_XEROX","DKA","2026","2026-04","Erreur",16,"0.01","0.02","0.00","0.13"
"DKA : Mise Ã  jour quotidienne des sites fournisseurs dupliquÃ©s","DKA_SAPFRSDUPLI_MAJ","DKA","2026","2026-04","Warning",16,"43.55","58.78","28.32","696.80"
"DKA : Traitement de validation des factures CSP","DKA_SAPWFCSP","DKA","2026","2026-04","Erreur",16,"2.08","3.17","1.00","33.33"
"DKA : Rapprochement automatique RB sur toutes sociÃ©tÃ©s","DKA_SRBRAPAUTO","DKA","2026","2026-04","Warning",16,"3.13","4.25","2.02","50.13"
"DKA : Import des contrats SSTR depuis iValua","DKA_IPO_SSTR_IVALUA","DKA","2026","2026-04","Warning",16,"0.59","0.60","0.58","9.47"
"DKA : Campagne de prÃ©lÃ¨vement","DKA_SAPCAMPPREL_PKG","DKA","2026","2026-04","Normal",16,"0.37","0.37","0.37","5.87"
"DKA : Interface vers Garantie Totale","DKA_SPADEPTRAVINT","DKA","2026","2026-04","Normal",8,"3.35","3.35","3.35","26.80"
"DKA : ContrÃ´le des rejets de la surtaxe communale","DKA_SARSURTAXE_6","DKA","2026","2026-04","Normal",8,"25.15","25.15","25.15","201.20"
"DKA : Ajout des rÃ©fÃ©rences de lettrage","DKA_SGLREFLETTRAGE","DKA","2026","2026-04","Normal",8,"19.38","19.38","19.38","155.07"
"XXRB - Simulation rapprochement automatique","RBMATSIM","XXRB","2026","2026-04","Erreur",8,"0.27","0.27","0.27","2.13"
"DKAÂ : Extraction des donnÃ©es PO pour HYPERION","DKA_IPOHYPERION","DKA","2026","2026-04","Normal",8,"5.73","5.73","5.73","45.87"
"DKA : Extraction des soldes des taches travaux vers Hercule","DKA_EXTRSOLD_HERC","DKA","2026","2026-04","Normal",8,"201.13","201.13","201.13","1609.07"
"DKA : Import des donnÃ©es Fournisseurs depuis iValua","DKA_IPOFRS_IVALUA","DKA","2026","2026-04","Erreur",8,"0.08","0.08","0.08","0.67"
"CrÃ©er une comptabilisation","XLAACCPB","XLA","2026","2026-04","Warning",8,"0.50","0.50","0.50","4.00"
"XXRB - Rapprochement","RBMATCHG","XXRB","2026","2026-04","Warning",8,"6.48","6.48","6.48","51.87"
"Imprimer des remises en banque","ARXAPFRM","AR","2026","2026-04","Normal",8,"0.08","0.08","0.08","0.67"
"DKA : Transferts des mouvements AR en rejet","DKA_SARTRFMVT","DKA","2026","2026-04","Normal",8,"0.00","0.00","0.00","0.00"
"DKA : Creation des classes et modes de reglements POUR COMPTE","DKA_SARAUTCRE_REGLEMENT","DKA","2026","2026-04","Normal",8,"0.02","0.02","0.02","0.13"
"DKA : Automate TVA Collectee : Ã©tat prÃ©paratoire","DKA_AUTO_TVACOLLECTEE","DKA","2026","2026-04","Normal",8,"417.82","417.82","417.82","3342.53"
"DKA : Automate Registre des rÃ¨glements non lettrÃ©s","DKA_AUTO_ARXCOA2","DKA","2026","2026-04","Normal",8,"233.48","233.48","233.48","1867.87"
"DKA : Automate France - DÃ©claration de la TVA dÃ©ductible","DKA_AUTO_RJETVADEDUC","DKA","2026","2026-04","Normal",8,"11.00","11.00","11.00","88.00"
"DKA : Comparaison mensuelle - Chargement de la table DKA_SARG00C8","DKA_SARG00C8_LOAD","DKA","2026","2026-04","Warning",8,"0.02","0.02","0.02","0.13"
"DKA : Export mensuel des fournisseurs","DKA_APFRSEXP_MENS","DKA","2026","2026-04","Normal",8,"2.02","2.02","2.02","16.13"
"DKA Compression des fichiers de soldes hercules en zip","DKA_COMPRESS_FICH_HERC","DKA","2026","2026-04","Normal",8,"0.05","0.05","0.05","0.40"
"DKA : Posting Manager","DKA_POSTMAN","DKA","2026","2026-04","Normal",8,"11.27","11.27","11.27","90.13"
"DKA : Fermeture dÃ©finitive des commandes PO","DKA_SPOCLOSCOM","DKA","2026","2026-04","Normal",8,"2.67","2.67","2.67","21.33"
"DKA : Creation des types d'evenements POUR COMPTE","DKA_SARAUTCRE_EVENEMENT","DKA","2026","2026-04","Normal",8,"0.02","0.02","0.02","0.13"
"DKA : Automate France - DÃ©claration dÃ©taillÃ©e de la TVA dÃ©ductible","DKA_AUTO_JEFRTXDC","DKA","2026","2026-04","Normal",8,"399.52","399.52","399.52","3196.13"
"DKA : Envoi des contrÃ´les des rejets de la surtaxe communale par mail","DKA_SARSURTAXE_MAIL","DKA","2026","2026-04","Normal",8,"0.33","0.33","0.33","2.67"
"DKA : RÃ¨glements automatiques toutes sociÃ©tÃ©s des factures fournisseurs","DKA_SAPAUTORGT","DKA","2026","2026-04","Warning",8,"17.55","17.55","17.55","140.40"
"DKA : Lancement de confirmation des lots de rÃ¨glements","DKA_SARRGLTPRLV_CONFIRM_AUT","DKA","2026","2026-04","Warning",8,"3.02","3.02","3.02","24.13"
"DKA : Transfert d'Ã©critures GL vers PA","DKA_SPACUTOFF_TRANSFER","DKA","2026","2026-04","Warning",8,"2.42","2.42","2.42","19.33"
"DKA : Calcul de la surtaxe communale 4","DKA_SARSURTAXE_4","DKA","2026","2026-04","Normal",8,"2.02","2.02","2.02","16.13"
"DKA : Programme - Contrepassation automatique","DKA_GLPARV","DKA","2026","2026-04","Normal",8,"703.53","703.53","703.53","5628.27"
"DKA : Automate Etat justificatif de l'en-cours de TVA sur encaissement","DKA_AUTO_AR_JUST_TVA_ENC","DKA","2026","2026-04","Normal",8,"105.03","105.03","105.03","840.27"
"DKA : Comparaison mensuelle - Etat de comparaison","DKA_SARG00C8_ETAT","DKA","2026","2026-04","Normal",8,"2.50","2.50","2.50","20.00"
"DKA : Flux SI / CM - Extraction mensuelle en cours recouvrement","DKA_IAR_ENCOURS_REC_SICM_MEN","DKA","2026","2026-04","Normal",8,"9.73","9.73","9.73","77.87"
"DKA : ClÃ´ture de la pÃ©riode AR","DKA_SARCLOTURE","DKA","2026","2026-04","Normal",8,"0.63","0.63","0.63","5.07"
"DKA : Envoi par mail paiement intra groupe AP/AR","DKA_SARENCAIS_MAIL","DKA","2026","2026-04","Normal",8,"0.33","0.33","0.33","2.67"
"DKA : Calcul de la surtaxe communale 1","DKA_SARSURTAXE_1","DKA","2026","2026-04","Normal",8,"2.25","2.25","2.25","18.00"
"DKA: Etat AR Balance Ã¢gÃ©e TOUTES SOCIETES par chargÃ© de recouvrement","DKA_RARBALCHAR_SOC","DKA","2026","2026-04","Normal",8,"0.12","0.12","0.12","0.93"
"DKA : Automate Edition des Ã©tats de TVA pour la sociÃ©tÃ© 0001","DKA_AUTO_ETATVA0001","DKA","2026","2026-04","Normal",8,"9003.98","9003.98","9003.98","72031.87"
"Sous-demande interface clients","RACUSTSB","AR","2026","2026-04","Erreur",8,"76.85","76.85","76.85","614.80"
"DKA : Lancement de crÃ©ation des lots de rÃ¨glements","DKA_SARRGLTPRLV_CREATE_AUT","DKA","2026","2026-04","Warning",8,"46.78","46.78","46.78","374.27"
"DKA : Automate Etat dÃ©claratif de la TVA dans GL","DKA_AUTO_GL_DECLAR_TVA","DKA","2026","2026-04","Normal",8,"1.87","1.87","1.87","14.93"
"DKA : Rapprochement - Rapprochement automatique","DKA_GLXRCAUT","DKA","2026","2026-04","Normal",8,"9.02","9.02","9.02","72.13"
"DKA : Calcul de la surtaxe communale 2","DKA_SARSURTAXE_2","DKA","2026","2026-04","Normal",8,"0.08","0.08","0.08","0.67"
"Purge les journaux et les alertes systÃ¨me fermÃ©es.","FNDLGPRG","FND","2026","2026-04","Normal",8,"0.15","0.15","0.15","1.20"
"DKA : Export du dÃ©tail de sous-traitance pour HYPERION","DKA_IPOHYPERION_DETAIL_SSTR","DKA","2026","2026-04","Normal",8,"8.03","8.03","8.03","64.27"
"DKA : Automate Archivage des factures de refacturation","DKA_AUTO_SARREFAC_ETAT","DKA","2026","2026-04","Normal",8,"0.38","0.38","0.38","3.07"
"ArrÃªter","SHUTDOWN","FND","2026","2026-04","Annule",8,"","","",""
"DKA : ClÃ´ture de la pÃ©riode PO","DKA_SPOCLOTURE","DKA","2026","2026-04","Warning",8,"0.03","0.03","0.03","0.27"
"DKA : Affectation des sequences POUR COMPTE","DKA_SARAUTCRE_SEQUENCE","DKA","2026","2026-04","Normal",8,"0.02","0.02","0.02","0.13"
"DKA : Mise Ã  jour mensuelle des projets","DKA_ICODEPROJET_2","DKA","2026","2026-04","Normal",8,"0.25","0.25","0.25","2.00"
"DKA : Solde des avoirs et crÃ©ation des remboursements","DKA_SARSOLDEAVOIR","DKA","2026","2026-04","Normal",8,"2.22","2.22","2.22","17.73"
"DKA : Solde des avoirs et crÃ©ation des remboursements","DKA_SARSOLDEAVOIR","DKA","2026","2026-04","Warning",8,"4.20","4.20","4.20","33.60"
"DKA : GÃ©nÃ©ration des OD CAP multi-sociÃ©tÃ©","DKA_SPOODCAPMS","DKA","2026","2026-04","Normal",8,"1.05","1.05","1.05","8.40"
"DKA : Equilibre comptable par centre de gestion","DKA_SGLEQUILIB","DKA","2026","2026-04","Normal",8,"1.48","1.48","1.48","11.87"
"Imputation","GLPPOS","SQLGL","2026","2026-04","Warning",8,"10.45","10.45","10.45","83.60"
"XXRB - Rapprochement automatique","RBMATRUN","XXRB","2026","2026-04","Warning",8,"7.50","7.50","7.50","60.00"
"DKA : Calcul de la surtaxe communale 3","DKA_SARSURTAXE_3","DKA","2026","2026-04","Normal",8,"56.23","56.23","56.23","449.87"
"DKA : Envoi par mail de l'Ã©tat de comparaison des factures CID","DKA_SARG00C8_MAIL","DKA","2026","2026-04","Normal",8,"0.02","0.02","0.02","0.13"
"DKA : ClÃ´ture de la pÃ©riode PA","DKA_SPACLOTURE","DKA","2026","2026-04","Normal",8,"19.25","19.25","19.25","154.00"
"DKA : Paiement intra groupe AP/AR","DKA_SARENCAIS","DKA","2026","2026-04","Warning",8,"95.00","95.00","95.00","760.00"
"DKA : Calcul de la surtaxe communale 5","DKA_SARSURTAXE_5","DKA","2026","2026-04","Normal",8,"0.05","0.05","0.05","0.40"
"DKA : Envoi par mail des fichiers de situation Oracle du matin","DKA_SCTRLMOD_MOA_MAIL","DKA","2026","2026-04","Erreur",8,"0.00","0.00","0.00","0.00"
"Progr. trait. simultanÃ©s maÃ®tre interface clients","RACUSTMA","AR","2026","2026-04","Erreur",8,"120.37","120.37","120.37","962.93"
"DKA : Equilibre comptable par centre de gestion","DKA_SGLEQUILIB","DKA","2026","2026-04","Warning",8,"1.57","1.57","1.57","12.53"
"Copier automatiquement des piÃ¨ces","GLJRNAUTOC","SQLGL","2026","2026-04","Normal",8,"0.00","0.00","0.00","0.00"
"DKA : Creation des comptes bancaires internes","DKA_SARAUTCRE_COMPTE","DKA","2026","2026-04","Normal",8,"0.02","0.02","0.02","0.13"
"DKA : Automate Etat justificatif des comptes de TVA sur dÃ©caissement.","DKA_AUTO_RAPJUSTTVADEC","DKA","2026","2026-04","Normal",8,"8.15","8.15","8.15","65.20"
"DKA : Validation de factures","DKA_APPRVL","DKA","2026","2026-04","Normal",8,"25.02","25.02","25.02","200.13"
